[Name]
Series 1 at /LINE:Second Anemometor Set

[Data]
Velocity u [ m s^-1 ],Y [ m ]
9.51603312e-008, 5.00000000e+000
3.02830860e-002, 5.10606050e+000
3.82929035e-002, 5.21212101e+000
4.26495858e-002, 5.31818151e+000
4.39270958e-002, 5.42424202e+000
4.32385169e-002, 5.53030252e+000
4.15006727e-002, 5.63636303e+000
3.91521640e-002, 5.74242353e+000
3.64401415e-002, 5.84848404e+000
3.34958136e-002, 5.95454454e+000
3.03983930e-002, 6.06060505e+000
2.72024050e-002, 6.16666555e+000
2.39491612e-002, 6.27272606e+000
2.06716731e-002, 6.37878656e+000
1.73970796e-002, 6.48484707e+000
1.41482102e-002, 6.59090757e+000
1.09444167e-002, 6.69696808e+000
7.80179119e-003, 6.80302858e+000
4.73473966e-003, 6.90908909e+000
1.75467762e-003, 7.01514959e+000
-1.12969743e-003, 7.12121010e+000
-3.91230360e-003, 7.22727060e+000
-6.58970186e-003, 7.33333111e+000
-9.16095264e-003, 7.43939161e+000
-1.16274003e-002, 7.54545212e+000
-1.39925964e-002, 7.65151262e+000
-1.62619576e-002, 7.75757313e+000
-1.84428822e-002, 7.86363363e+000
-2.05454119e-002, 7.96969414e+000
-2.25834064e-002, 8.07575512e+000
-2.45796237e-002, 8.18181610e+000
-2.65745446e-002, 8.28787708e+000
-2.84840614e-002, 8.39393806e+000
-3.01687643e-002, 8.49999905e+000
-3.17898840e-002, 8.60606003e+000
-3.34308930e-002, 8.71212101e+000
-3.51377428e-002, 8.81818199e+000
-3.69574353e-002, 8.92424297e+000
-3.89417484e-002, 9.03030396e+000
-4.11513522e-002, 9.13636494e+000
-4.36564088e-002, 9.24242592e+000
-4.65430580e-002, 9.34848690e+000
-4.99375165e-002, 9.45454788e+000
-5.40444851e-002, 9.56060886e+000
-5.91642968e-002, 9.66666985e+000
-6.56933039e-002, 9.77273083e+000
-7.40793794e-002, 9.87879181e+000
-8.46294016e-002, 9.98485279e+000
-9.72412527e-002, 1.00909138e+001
-1.09463423e-001, 1.01969748e+001
-1.23984449e-001, 1.03030357e+001
-1.34192824e-001, 1.04090967e+001
-1.41634122e-001, 1.05151577e+001
1.34088606e-001, 1.06212187e+001
2.13705134e+000, 1.07272797e+001
4.00597382e+000, 1.08333406e+001
4.08845568e+000, 1.09394016e+001
4.13347149e+000, 1.10454626e+001
4.18315125e+000, 1.11515236e+001
4.23428679e+000, 1.12575846e+001
4.28650856e+000, 1.13636456e+001
4.33889914e+000, 1.14697065e+001
4.39095736e+000, 1.15757675e+001
4.44237995e+000, 1.16818285e+001
4.49276400e+000, 1.17878895e+001
4.54178953e+000, 1.18939505e+001
4.58934307e+000, 1.20000114e+001
4.63531494e+000, 1.21060724e+001
4.67960644e+000, 1.22121334e+001
4.72215176e+000, 1.23181944e+001
4.76291180e+000, 1.24242554e+001
4.80187035e+000, 1.25303164e+001
4.83903551e+000, 1.26363773e+001
4.87424946e+000, 1.27424383e+001
4.90762806e+000, 1.28484993e+001
4.93911171e+000, 1.29545603e+001
4.96844864e+000, 1.30606213e+001
4.99609852e+000, 1.31666822e+001
5.02181768e+000, 1.32727432e+001
5.04593277e+000, 1.33788042e+001
5.06806803e+000, 1.34848652e+001
5.08831453e+000, 1.35909262e+001
5.10679817e+000, 1.36969872e+001
5.12328148e+000, 1.38030481e+001
5.13798237e+000, 1.39091091e+001
5.15095139e+000, 1.40151701e+001
5.16218090e+000, 1.41212311e+001
5.17149448e+000, 1.42272921e+001
5.17902088e+000, 1.43333530e+001
5.18482494e+000, 1.44394140e+001
5.18890190e+000, 1.45454750e+001
5.19125843e+000, 1.46515360e+001
5.19190884e+000, 1.47575970e+001
5.19084406e+000, 1.48636580e+001
5.18806839e+000, 1.49697189e+001
5.18361330e+000, 1.50757799e+001
5.17749310e+000, 1.51818409e+001
5.16983223e+000, 1.52879019e+001
5.16093540e+000, 1.53939629e+001
5.15122509e+000, 1.55000238e+001


